`# time, f
4.262131065532767025e+03,-2.049624712749006095e-01
4.282141070535267318e+03,-2.049757793327624256e-01
4.302151075537768520e+03,-2.049895672785260192e-01
4.322161080540270632e+03,-2.050038614947989890e-01
4.342171085542770925e+03,-2.050186794060573914e-01
4.362181090545272127e+03,-2.050340267351166423e-01
4.382191095547774239e+03,-2.050498992710682589e-01
4.402201100550275441e+03,-2.050662896510533628e-01
4.422211105552776644e+03,-2.050831968896447421e-01
4.442221110555277846e+03,-2.051006355936773606e-01
4.462231115557779049e+03,-2.051186429405218725e-01
4.482241120560280251e+03,-2.051372826265768778e-01
4.502251125562781453e+03,-2.051566451797048052e-01
4.522261130565282656e+03,-2.051768436702698095e-01
4.542271135567783858e+03,-2.051980036720103817e-01
4.562281140570285061e+03,-2.052202469612828262e-01
4.582291145572786263e+03,-2.052436708738332172e-01
4.602301150575287465e+03,-2.052683320995658534e-01
4.622311155577788668e+03,-2.052942529482935652e-01
4.642321160580289870e+03,-2.053214591009892009e-01
4.662331165582791982e+03,-2.053500259635244185e-01
4.682341170585292275e+03,-2.053801066859458901e-01
4.702351175587793477e+03,-2.054119495068547629e-01
4.722361180590295589e+03,-2.054459203651252674e-01
4.742371185592796792e+03,-2.054825040668123159e-01
4.762381190595297085e+03,-2.055222187534740119e-01
4.782391195597799197e+03,-2.055654555857709120e-01
4.802401200600300399e+03,-2.056124923546870376e-01
4.822411205602801601e+03,-2.056638858138370718e-01
4.842421210605302804e+03,-2.057209154519238914e-01
4.862431215607804006e+03,-2.057856742907293590e-01
4.882441220610305209e+03,-2.058607942161535809e-01
4.902451225612806411e+03,-2.059494560972339461e-01
4.922461230615307613e+03,-2.060588041162049744e-01
4.942471235617808816e+03,-2.062107481952943910e-01
4.962481240620310018e+03,-2.064976575514232138e-01
4.982491245622811221e+03,-2.072208347683691387e-01
5.002501250625312423e+03,-2.074055626575851408e-01
5.022511255627813625e+03,-2.074699873499715186e-01
5.042521260630314828e+03,-2.075007293834537359e-01
5.062531265632816030e+03,-2.075186513721692383e-01
5.082541270635318142e+03,-2.075310345248495281e-01
5.102551275637818435e+03,-2.075408602204840969e-01
5.122561280640320547e+03,-2.075494680471132725e-01
5.142571285642821749e+03,-2.075574952825642028e-01
5.162581290645322042e+03,-2.075652584732152750e-01
5.182591295647824154e+03,-2.075729223984905669e-01
5.202601300650325356e+03,-2.075805784274295518e-01
5.222611305652826559e+03,-2.075882817045244244e-01
5.242621310655327761e+03,-2.075960689634719081e-01
5.262631315657828054e+03,-2.076039670060043918e-01
5.282641320660330166e+03,-2.076119965932381184e-01
5.302651325662831368e+03,-2.076201740855165567e-01
5.322661330665332571e+03,-2.076285120769321979e-01
5.342671335667833773e+03,-2.076370197625450609e-01
5.362681340670335885e+03,-2.076457034756092612e-01
5.382691345672837087e+03,-2.076545675700816884e-01
5.402701350675337380e+03,-2.076636155794944760e-01
5.422711355677838583e+03,-2.076728514182336893e-01
5.442721360680339785e+03,-2.076822803542770213e-01
5.462731365682840988e+03,-2.076919095541469584e-01
5.482741370685343099e+03,-2.077017481214268602e-01
5.502751375687844302e+03,-2.077118066788587736e-01
5.522761380690345504e+03,-2.077220966747585496e-01
5.542771385692845797e+03,-2.077326297169050928e-01
5.562781390695347000e+03,-2.077434172923316447e-01
5.582791395697849111e+03,-2.077544711291162416e-01
5.602801400700350314e+03,-2.077658041732296512e-01
5.622811405702851516e+03,-2.077774318202577075e-01
5.642821410705352719e+03,-2.077893728743658297e-01
5.662831415707854831e+03,-2.078016498185736027e-01
5.682841420710355123e+03,-2.078142882869520314e-01
5.702851425712856326e+03,-2.078273159265938419e-01
5.722861430715357528e+03,-2.078407609336516415e-01
5.742871435717858731e+03,-2.078546504082014468e-01
5.762881440720359933e+03,-2.078690085697445789e-01
5.782891445722862045e+03,-2.078838552533742168e-01
5.802901450725363247e+03,-2.078992058812036692e-01
5.822911455727863540e+03,-2.079150741744800190e-01
5.842921460730364743e+03,-2.079314773242367798e-01
5.862931465732865945e+03,-2.079484413289827416e-01
5.882941470735368057e+03,-2.079660039318816378e-01
5.902951475737869259e+03,-2.079842141940876077e-01
5.922961480740370462e+03,-2.080031294595376390e-01
5.942971485742870755e+03,-2.080228114263245609e-01
5.962981490745371957e+03,-2.080433237345057362e-01
5.982991495747874069e+03,-2.080647334433772810e-01
6.003001500750375271e+03,-2.080871160757001570e-01
6.023011505752876474e+03,-2.081105594317808893e-01
6.043021510755377676e+03,-2.081351605168085261e-01
6.063031515757879788e+03,-2.081610156530211975e-01
6.083041520760379171e+03,-2.081882132493249604e-01
6.103051525762881283e+03,-2.082168458577055292e-01
6.123061530765382486e+03,-2.082470499789117746e-01
6.143071535767883688e+03,-2.082790538378896661e-01
6.163081540770384890e+03,-2.083131968730896344e-01
6.183091545772887002e+03,-2.083499054433573250e-01
6.203101550775388205e+03,-2.083896503070967743e-01
6.223111555777888498e+03,-2.084329367577474335e-01
6.243121560780389700e+03,-2.084803371621168078e-01
6.263131565782890902e+03,-2.085325338650546589e-01
6.283141570785393014e+03,-2.085905134887153511e-01
6.303151575787894217e+03,-2.086561511357237220e-01
6.323161580790395419e+03,-2.087329535274250747e-01
6.343171585792896622e+03,-2.088267354786958463e-01
6.363181590795396914e+03,-2.089484573428510850e-01
6.383191595797899026e+03,-2.091357349160026802e-01
6.403201600800400229e+03,-2.097352799516249977e-01
6.423211605802901431e+03,-2.100924711161447356e-01
6.443221610805402634e+03,-2.102129940924132301e-01
6.463231615807904745e+03,-2.102742446903450857e-01
6.483241620810405948e+03,-2.103074077779958639e-01
6.503251625812906241e+03,-2.103259297204159439e-01
6.523261630815407443e+03,-2.103367200571724382e-01
6.543271635817908646e+03,-2.103434266467768821e-01
6.563281640820409848e+03,-2.103479748338688837e-01
6.583291645822911960e+03,-2.103513769336282091e-01
6.603301650825413162e+03,-2.103541642881817109e-01
6.623311655827914365e+03,-2.103566163262667044e-01
6.643321660830414658e+03,-2.103588809106267943e-01
6.663331665832915860e+03,-2.103610371520671929e-01
6.683341670835417972e+03,-2.103631280880295940e-01
6.703351675837919174e+03,-2.103651776860578637e-01
6.723361680840420377e+03,-2.103671997231056079e-01
6.743371685842921579e+03,-2.103692024559642160e-01
6.763381690845421872e+03,-2.103711911048217198e-01
6.783391695847923984e+03,-2.103731691927414882e-01
6.803401700850425186e+03,-2.103751392795326913e-01
6.823411705852926389e+03,-2.103771033693720705e-01
6.843421710855427591e+03,-2.103790631385047127e-01
6.863431715857928793e+03,-2.103810200609668724e-01
6.883441720860430905e+03,-2.103829754749715064e-01
6.903451725862931198e+03,-2.103849306142112630e-01
6.923461730865432401e+03,-2.103868866186010544e-01
6.943471735867933603e+03,-2.103888445336871416e-01
6.963481740870434805e+03,-2.103908053049282911e-01
6.983491745872936917e+03,-2.103927697711878431e-01
7.003501750875438120e+03,-2.103947386604763659e-01
7.023511755877939322e+03,-2.103967125899514901e-01
7.043521760880439615e+03,-2.103986920712655750e-01
7.063531765882940817e+03,-2.104006775215127301e-01
7.083541770885442929e+03,-2.104026692792836106e-01
7.103551775887944132e+03,-2.104046676247406933e-01
7.123561780890445334e+03,-2.104066728022321864e-01
7.143571785892946536e+03,-2.104086850438109668e-01
7.163581790895448648e+03,-2.104107045920979580e-01
7.183591795897948032e+03,-2.104127317211997306e-01
7.203601800900450144e+03,-2.104147667547707767e-01
7.223611805902951346e+03,-2.104168100807365105e-01
7.243621810905452548e+03,-2.104188621625784350e-01
7.263631815907953751e+03,-2.104209235473946116e-01
7.283641820910455863e+03,-2.104229948711476839e-01
7.303651825912957065e+03,-2.104250768616154343e-01
7.323661830915457358e+03,-2.104271703395688697e-01
7.343671835917958560e+03,-2.104292762186505683e-01
7.363681840920459763e+03,-2.104313955043318751e-01
7.383691845922961875e+03,-2.104335292922174250e-01
7.403701850925463077e+03,-2.104356787658472894e-01
7.423711855927964280e+03,-2.104378451940414341e-01
7.443721860930465482e+03,-2.104400299277366659e-01
7.463731865932965775e+03,-2.104422343961920849e-01
7.483741870935467887e+03,-2.104444601023850725e-01
7.503751875937969089e+03,-2.104467086173911483e-01
7.523761880940470292e+03,-2.104489815735349212e-01
7.543771885942971494e+03,-2.104512806561250615e-01
7.563781890945472696e+03,-2.104536075936324357e-01
7.583791895947972989e+03,-2.104559641462469821e-01
7.603801900950475101e+03,-2.104583520928388629e-01
7.623811905952976304e+03,-2.104607732164417988e-01
7.643821910955477506e+03,-2.104632292884550115e-01
7.663831915957978708e+03,-2.104657220518088290e-01
7.683841920960480820e+03,-2.104682532033382847e-01
7.703851925962982023e+03,-2.104708243755743780e-01
7.723861930965482316e+03,-2.104734371181215535e-01
7.743871935967983518e+03,-2.104760928788012853e-01
7.763881940970484720e+03,-2.104787929848907502e-01
7.783891945972986832e+03,-2.104815386251334408e-01
7.803901950975488035e+03,-2.104843308337597529e-01
7.823911955977989237e+03,-2.104871704784420650e-01
7.843921960980490439e+03,-2.104900582547114818e-01
7.863931965982990732e+03,-2.104929946895928994e-01
7.883941970985492844e+03,-2.104959801567811983e-01
7.903951975987994047e+03,-2.104990149044521919e-01
7.923961980990495249e+03,-2.105020990948664739e-01
7.943971985992996451e+03,-2.105052328526649807e-01
7.963981990995497654e+03,-2.105084163166665301e-01
7.983991995997999766e+03,-2.105116496885300892e-01
8.004002001000500059e+03,-2.105149332710739563e-01
8.024012006003001261e+03,-2.105182674893469885e-01
8.044022011005502463e+03,-2.105216528885754113e-01
8.064032016008003666e+03,-2.105250901047841516e-01
8.084042021010505778e+03,-2.105285798063319946e-01
8.104052026013006980e+03,-2.105321226081150465e-01
